target,treatment,well,on_buscar_scores,off_buscar_scores,is_reference_distance,iteration
healthy_DMSO,failing-drug_x,B09,0.9696471535933096,0.4603174603174603,false,0
healthy_DMSO,healthy-TGFRi,E07,0.8737525115103812,0.0,false,0
healthy_DMSO,healthy-drug_x,C03,0.9182943737561959,0.3333333333333333,false,0
healthy_DMSO,healthy-drug_x,C09,0.9220911047945409,0.38095238095238093,false,0
healthy_DMSO,healthy-drug_x,C06,0.9026326823049594,0.31746031746031744,false,0
healthy_DMSO,failing-drug_x,D09,0.9885234755901094,0.6349206349206349,false,0
healthy_DMSO,failing-TGFRi,B10,0.8619320102628042,0.3333333333333333,false,0
healthy_DMSO,failing-TGFRi,B07,0.9378292285899484,0.2698412698412698,false,0
healthy_DMSO,failing-drug_x,D06,0.9566834545123724,0.5555555555555556,false,0
healthy_DMSO,healthy-TGFRi,E10,0.8060571185953229,0.4126984126984127,false,0
healthy_DMSO,failing-TGFRi,D07,1.075983196200173,0.42857142857142855,false,0
healthy_DMSO,failing-drug_x,B06,0.9428893177915676,0.4603174603174603,false,0
healthy_DMSO,healthy-drug_x,E09,1.1437968054010514,0.36507936507936506,false,0
healthy_DMSO,healthy-TGFRi,C10,0.7601786705375515,0.2222222222222222,false,0
healthy_DMSO,failing-drug_x,D03,0.9532498189387457,0.5714285714285714,false,0
healthy_DMSO,failing-drug_x,B03,0.9348848642151948,0.49206349206349204,false,0
healthy_DMSO,healthy-TGFRi,C04,0.7799877447255097,0.20634920634920634,false,0
healthy_DMSO,healthy-TGFRi,E04,0.9183875411746432,0.0,false,0
healthy_DMSO,healthy-drug_x,E03,1.05899267583465,0.5396825396825397,false,0
healthy_DMSO,,,1.0,0.0,true,0
healthy_DMSO,healthy-TGFRi,C07,0.765394854914844,0.2698412698412698,false,0
healthy_DMSO,failing-TGFRi,D04,0.9406289885734151,0.4603174603174603,false,0
healthy_DMSO,failing-TGFRi,B04,0.8896398399057197,0.14285714285714285,false,0
healthy_DMSO,failing-TGFRi,D10,0.9199142729399705,0.3968253968253968,false,0
healthy_DMSO,healthy-drug_x,E06,1.0706998636850888,0.5555555555555556,false,0
healthy_DMSO,failing-drug_x,D03,0.9700562430553329,0.48148148148148145,false,1
healthy_DMSO,failing-TGFRi,B10,0.8778208725540753,0.24074074074074073,false,1
healthy_DMSO,healthy-TGFRi,C04,0.7968333555500307,0.14814814814814814,false,1
healthy_DMSO,failing-TGFRi,B07,0.953307005992443,0.2777777777777778,false,1
healthy_DMSO,healthy-TGFRi,E07,0.8884727910961973,0.0,false,1
healthy_DMSO,failing-drug_x,B06,0.9581893208556272,0.37037037037037035,false,1
healthy_DMSO,failing-TGFRi,D07,1.092279528896685,0.46296296296296297,false,1
healthy_DMSO,healthy-drug_x,E03,1.0763771714665404,0.5925925925925926,false,1
healthy_DMSO,healthy-TGFRi,E10,0.8206518099639262,0.42592592592592593,false,1
healthy_DMSO,failing-drug_x,B09,0.9844593457669112,0.3333333333333333,false,1
healthy_DMSO,failing-drug_x,B03,0.951296621756212,0.4444444444444444,false,1
healthy_DMSO,failing-TGFRi,B04,0.9046069022898863,0.018518518518518517,false,1
healthy_DMSO,healthy-TGFRi,C07,0.78103244848279,0.12962962962962962,false,1
healthy_DMSO,failing-TGFRi,D04,0.95651563471227,0.4444444444444444,false,1
healthy_DMSO,healthy-drug_x,C03,0.9344852271780842,0.3333333333333333,false,1
healthy_DMSO,,,0.9999999999999999,0.0,true,1
healthy_DMSO,healthy-TGFRi,C10,0.7737882247430404,0.18518518518518517,false,1
healthy_DMSO,healthy-drug_x,C06,0.9182632790820004,0.3148148148148148,false,1
healthy_DMSO,healthy-drug_x,C09,0.937281200824413,0.3333333333333333,false,1
healthy_DMSO,healthy-drug_x,E09,1.160553334292285,0.37037037037037035,false,1
healthy_DMSO,failing-drug_x,D09,1.0068805918920503,0.6111111111111112,false,1
healthy_DMSO,failing-drug_x,D06,0.9743457174757866,0.48148148148148145,false,1
healthy_DMSO,failing-TGFRi,D10,0.9363073722802083,0.3148148148148148,false,1
healthy_DMSO,healthy-TGFRi,E04,0.9333985721540148,0.0,false,1
healthy_DMSO,healthy-drug_x,E06,1.0876340054954936,0.6111111111111112,false,1
healthy_DMSO,failing-TGFRi,D04,0.966953893315624,0.33962264150943394,false,2
healthy_DMSO,failing-drug_x,B06,0.9724449413023408,0.3584905660377358,false,2
healthy_DMSO,healthy-TGFRi,C04,0.8054940885682189,0.11320754716981132,false,2
healthy_DMSO,failing-drug_x,B09,0.999331997964149,0.37735849056603776,false,2
healthy_DMSO,failing-TGFRi,D07,1.1046868149407045,0.3584905660377358,false,2
healthy_DMSO,,,0.9999999999999999,0.0,true,2
healthy_DMSO,healthy-drug_x,E03,1.0920447383064202,0.5283018867924528,false,2
healthy_DMSO,healthy-TGFRi,C07,0.7885216344632431,0.11320754716981132,false,2
healthy_DMSO,failing-drug_x,B03,0.964176804189918,0.4339622641509434,false,2
healthy_DMSO,healthy-TGFRi,E07,0.898780032461895,0.0,false,2
healthy_DMSO,failing-drug_x,D03,0.9829037385025086,0.4716981132075472,false,2
healthy_DMSO,failing-TGFRi,B07,0.9642192771813639,0.18867924528301888,false,2
healthy_DMSO,healthy-drug_x,E09,1.1767811788190987,0.33962264150943394,false,2
healthy_DMSO,healthy-drug_x,E06,1.102283932579063,0.4716981132075472,false,2
healthy_DMSO,failing-TGFRi,D10,0.947496963230635,0.2830188679245283,false,2
healthy_DMSO,healthy-drug_x,C03,0.9468520761002922,0.33962264150943394,false,2
healthy_DMSO,failing-drug_x,D09,1.0208066968941385,0.5283018867924528,false,2
healthy_DMSO,healthy-TGFRi,E04,0.9439663746307208,0.0,false,2
healthy_DMSO,failing-TGFRi,B04,0.9160186381468267,0.018867924528301886,false,2
healthy_DMSO,healthy-drug_x,C06,0.9296817345662762,0.24528301886792453,false,2
healthy_DMSO,healthy-drug_x,C09,0.9500118769189281,0.24528301886792453,false,2
healthy_DMSO,healthy-TGFRi,C10,0.7833930569153201,0.11320754716981132,false,2
healthy_DMSO,failing-drug_x,D06,0.9884596005914633,0.4716981132075472,false,2
healthy_DMSO,failing-TGFRi,B10,0.8871882166366607,0.16981132075471697,false,2
healthy_DMSO,healthy-TGFRi,E10,0.830375664059795,0.41509433962264153,false,2
healthy_DMSO,failing-TGFRi,D04,0.9528665242128925,0.38181818181818183,false,3
healthy_DMSO,healthy-TGFRi,C10,0.7708871712318414,0.16363636363636364,false,3
healthy_DMSO,healthy-drug_x,E03,1.0744754242178824,0.5636363636363636,false,3
healthy_DMSO,failing-drug_x,B09,0.9804833722594929,0.43636363636363634,false,3
healthy_DMSO,healthy-TGFRi,C07,0.7753697990782644,0.10909090909090909,false,3
healthy_DMSO,failing-TGFRi,D07,1.0885211061454254,0.38181818181818183,false,3
healthy_DMSO,healthy-TGFRi,E10,0.8176822494332404,0.4,false,3
healthy_DMSO,healthy-TGFRi,C04,0.791839984759311,0.14545454545454545,false,3
healthy_DMSO,healthy-drug_x,C03,0.9313029725767251,0.32727272727272727,false,3
healthy_DMSO,failing-TGFRi,B04,0.9025129071600391,0.01818181818181818,false,3
healthy_DMSO,healthy-drug_x,E09,1.1588910543769377,0.36363636363636365,false,3
healthy_DMSO,failing-drug_x,D09,1.002304823126605,0.6,false,3
healthy_DMSO,failing-drug_x,D06,0.9703256008144325,0.5272727272727272,false,3
healthy_DMSO,failing-drug_x,D03,0.9655441527426704,0.5454545454545454,false,3
healthy_DMSO,healthy-drug_x,C09,0.9347618161926751,0.34545454545454546,false,3
healthy_DMSO,failing-drug_x,B06,0.9542934765937731,0.4909090909090909,false,3
healthy_DMSO,healthy-TGFRi,E04,0.9289938795629138,0.0,false,3
healthy_DMSO,healthy-drug_x,E06,1.0844355215696428,0.5454545454545454,false,3
healthy_DMSO,,,1.0,0.0,true,3
healthy_DMSO,healthy-TGFRi,E07,0.8846201709102721,0.0,false,3
healthy_DMSO,healthy-drug_x,C06,0.9152219613809078,0.2545454545454545,false,3
healthy_DMSO,failing-TGFRi,D10,0.9331046607733658,0.2545454545454545,false,3
healthy_DMSO,failing-drug_x,B03,0.946729242503182,0.509090909090909,false,3
healthy_DMSO,failing-TGFRi,B07,0.9504759356016871,0.18181818181818182,false,3
healthy_DMSO,failing-TGFRi,B10,0.8733937808185236,0.2,false,3
healthy_DMSO,failing-TGFRi,B04,0.9092665027557236,0.08333333333333333,false,4
healthy_DMSO,healthy-drug_x,E06,1.0926892374485004,0.6,false,4
healthy_DMSO,healthy-TGFRi,C07,0.7817981126954365,0.15,false,4
healthy_DMSO,healthy-TGFRi,C10,0.7774252703621493,0.2,false,4
healthy_DMSO,failing-drug_x,D09,1.009931955365018,0.6666666666666666,false,4
healthy_DMSO,healthy-drug_x,C03,0.9378935458470539,0.38333333333333336,false,4
healthy_DMSO,failing-drug_x,D06,0.9776492096491176,0.5333333333333333,false,4
healthy_DMSO,failing-TGFRi,B10,0.8802785503241104,0.3333333333333333,false,4
healthy_DMSO,failing-drug_x,B06,0.9619243218381889,0.43333333333333335,false,4
healthy_DMSO,healthy-TGFRi,E07,0.8902633770779517,0.0,false,4
healthy_DMSO,failing-TGFRi,D10,0.9408775581512396,0.36666666666666664,false,4
healthy_DMSO,,,1.0,0.0,true,4
healthy_DMSO,healthy-drug_x,C06,0.9226300249525249,0.35,false,4
healthy_DMSO,healthy-drug_x,C09,0.9414646002639981,0.4166666666666667,false,4
healthy_DMSO,healthy-TGFRi,C04,0.79811508121164,0.21666666666666667,false,4
healthy_DMSO,failing-drug_x,B09,0.9881209723912563,0.4166666666666667,false,4
healthy_DMSO,healthy-TGFRi,E04,0.9368809466495426,0.0,false,4
healthy_DMSO,healthy-TGFRi,E10,0.8242083399528175,0.38333333333333336,false,4
healthy_DMSO,failing-drug_x,B03,0.9541315742551212,0.5,false,4
healthy_DMSO,failing-TGFRi,D07,1.0974774666118157,0.43333333333333335,false,4
healthy_DMSO,healthy-drug_x,E09,1.1661325271211174,0.4166666666666667,false,4
healthy_DMSO,healthy-drug_x,E03,1.0802799391202667,0.6166666666666667,false,4
healthy_DMSO,failing-drug_x,D03,0.9728658341670247,0.6,false,4
healthy_DMSO,failing-TGFRi,B07,0.9554710104920797,0.2833333333333333,false,4
healthy_DMSO,failing-TGFRi,D04,0.9602355860685737,0.38333333333333336,false,4
healthy_DMSO,healthy-drug_x,E06,1.0754204432092762,0.66,false,5
healthy_DMSO,healthy-drug_x,C03,0.9262052602569315,0.38,false,5
healthy_DMSO,failing-TGFRi,D10,0.9281837148663357,0.26,false,5
healthy_DMSO,failing-TGFRi,D04,0.9473755450167067,0.4,false,5
healthy_DMSO,failing-drug_x,B03,0.9417032695429132,0.52,false,5
healthy_DMSO,healthy-TGFRi,E10,0.8147379965658019,0.46,false,5
healthy_DMSO,failing-drug_x,D09,0.9949640040136148,0.62,false,5
healthy_DMSO,failing-TGFRi,B04,0.8977886456533264,0.06,false,5
healthy_DMSO,,,1.0,0.0,true,5
healthy_DMSO,failing-TGFRi,B10,0.870603295194314,0.3,false,5
healthy_DMSO,healthy-drug_x,C09,0.929256003561767,0.4,false,5
healthy_DMSO,failing-drug_x,D03,0.9599431353392036,0.56,false,5
healthy_DMSO,healthy-TGFRi,C10,0.7685075947153849,0.18,false,5
healthy_DMSO,healthy-drug_x,E09,1.1491820334939864,0.46,false,5
healthy_DMSO,failing-TGFRi,D07,1.0814777671594495,0.4,false,5
healthy_DMSO,failing-drug_x,D06,0.9644042477204281,0.5,false,5
healthy_DMSO,failing-drug_x,B06,0.9497120560424532,0.42,false,5
healthy_DMSO,failing-TGFRi,B07,0.9452485422427875,0.28,false,5
healthy_DMSO,healthy-TGFRi,C07,0.7751165867401508,0.12,false,5
healthy_DMSO,healthy-drug_x,C06,0.9108150579721513,0.3,false,5
healthy_DMSO,healthy-TGFRi,E07,0.8793462704435764,0.0,false,5
healthy_DMSO,healthy-drug_x,E03,1.0665650711196373,0.6,false,5
healthy_DMSO,healthy-TGFRi,C04,0.7908069764649787,0.14,false,5
healthy_DMSO,failing-drug_x,B09,0.9753289016810409,0.38,false,5
healthy_DMSO,healthy-TGFRi,E04,0.9259387924520401,0.0,false,5
healthy_DMSO,healthy-TGFRi,C04,0.7986717555775229,0.17543859649122806,false,6
healthy_DMSO,failing-drug_x,D06,0.9739147211382774,0.543859649122807,false,6
healthy_DMSO,healthy-TGFRi,E07,0.8931677732621169,0.0,false,6
healthy_DMSO,,,1.0,0.0,true,6
healthy_DMSO,failing-drug_x,D09,1.004118511664007,0.7017543859649122,false,6
healthy_DMSO,healthy-drug_x,E03,1.0824120951691611,0.6140350877192983,false,6
healthy_DMSO,healthy-drug_x,C09,0.9425625029089474,0.42105263157894735,false,6
healthy_DMSO,healthy-TGFRi,E10,0.8250858190570394,0.40350877192982454,false,6
healthy_DMSO,failing-TGFRi,B10,0.8810231753430342,0.24561403508771928,false,6
healthy_DMSO,failing-TGFRi,D04,0.9597749925050472,0.2982456140350877,false,6
healthy_DMSO,healthy-TGFRi,E04,0.9382101356100622,0.0,false,6
healthy_DMSO,failing-drug_x,B06,0.9625049958670296,0.47368421052631576,false,6
healthy_DMSO,healthy-TGFRi,C10,0.7778543907041179,0.21052631578947367,false,6
healthy_DMSO,healthy-drug_x,C03,0.9384583629757061,0.40350877192982454,false,6
healthy_DMSO,failing-TGFRi,B04,0.9084948029038221,0.10526315789473684,false,6
healthy_DMSO,healthy-drug_x,E09,1.167360790676253,0.42105263157894735,false,6
healthy_DMSO,failing-drug_x,D03,0.9710105108671268,0.631578947368421,false,6
healthy_DMSO,healthy-TGFRi,C07,0.7835555421595529,0.22807017543859648,false,6
healthy_DMSO,failing-TGFRi,B07,0.9560114597158017,0.2982456140350877,false,6
healthy_DMSO,failing-drug_x,B03,0.9546844506227671,0.5614035087719298,false,6
healthy_DMSO,failing-drug_x,B09,0.9880108319793184,0.45614035087719296,false,6
healthy_DMSO,healthy-drug_x,C06,0.9231651830710661,0.40350877192982454,false,6
healthy_DMSO,healthy-drug_x,E06,1.092188737038883,0.5964912280701754,false,6
healthy_DMSO,failing-TGFRi,D10,0.9394935338349255,0.2982456140350877,false,6
healthy_DMSO,failing-TGFRi,D07,1.0963911993614834,0.40350877192982454,false,6
healthy_DMSO,failing-TGFRi,B07,0.9443404402346726,0.25,false,7
healthy_DMSO,failing-drug_x,B09,0.9728034334221164,0.39285714285714285,false,7
healthy_DMSO,failing-drug_x,D03,0.9580452298317977,0.5,false,7
healthy_DMSO,healthy-drug_x,E03,1.0651293568597957,0.6071428571428571,false,7
healthy_DMSO,healthy-TGFRi,E07,0.8772394482822456,0.0,false,7
healthy_DMSO,healthy-drug_x,C03,0.9241498736725161,0.39285714285714285,false,7
healthy_DMSO,healthy-TGFRi,E04,0.922974146988616,0.0,false,7
healthy_DMSO,failing-drug_x,B06,0.9472077759558244,0.4107142857142857,false,7
healthy_DMSO,failing-TGFRi,B10,0.8680771674180174,0.3392857142857143,false,7
healthy_DMSO,healthy-drug_x,E09,1.1490846546009017,0.4107142857142857,false,7
healthy_DMSO,healthy-drug_x,E06,1.0765252467160402,0.6428571428571429,false,7
healthy_DMSO,failing-drug_x,D06,0.9633295309934385,0.5178571428571429,false,7
healthy_DMSO,healthy-drug_x,C06,0.9079025083813507,0.32142857142857145,false,7
healthy_DMSO,,,1.0,0.0,true,7
healthy_DMSO,healthy-TGFRi,C04,0.7869429410501246,0.19642857142857142,false,7
healthy_DMSO,healthy-TGFRi,C10,0.766629692780689,0.19642857142857142,false,7
healthy_DMSO,healthy-TGFRi,E10,0.8126633854198501,0.4107142857142857,false,7
healthy_DMSO,failing-TGFRi,D10,0.9273263824643218,0.30357142857142855,false,7
healthy_DMSO,healthy-drug_x,C09,0.9285341096598452,0.42857142857142855,false,7
healthy_DMSO,healthy-TGFRi,C07,0.771011615673426,0.14285714285714285,false,7
healthy_DMSO,failing-drug_x,B03,0.9393368125267098,0.4642857142857143,false,7
healthy_DMSO,failing-TGFRi,D07,1.0816252959418136,0.4107142857142857,false,7
healthy_DMSO,failing-TGFRi,B04,0.8964451392175764,0.05357142857142857,false,7
healthy_DMSO,failing-drug_x,D09,0.9947154994811247,0.6071428571428571,false,7
healthy_DMSO,failing-TGFRi,D04,0.9465724806014715,0.4642857142857143,false,7
healthy_DMSO,failing-TGFRi,D04,0.9351022122610142,0.3137254901960784,false,8
healthy_DMSO,failing-TGFRi,B04,0.8871642915340802,0.058823529411764705,false,8
healthy_DMSO,healthy-TGFRi,C07,0.7652661486598331,0.11764705882352941,false,8
healthy_DMSO,failing-drug_x,D06,0.9555707317092735,0.5098039215686274,false,8
healthy_DMSO,failing-drug_x,B09,0.967207194059325,0.37254901960784315,false,8
healthy_DMSO,healthy-drug_x,C06,0.9010658039938406,0.29411764705882354,false,8
healthy_DMSO,failing-TGFRi,D07,1.0681561856734705,0.37254901960784315,false,8
healthy_DMSO,healthy-TGFRi,C04,0.7809753819378035,0.09803921568627451,false,8
healthy_DMSO,failing-drug_x,D09,0.9864580976135655,0.6078431372549019,false,8
healthy_DMSO,failing-TGFRi,B07,0.9323617065548923,0.23529411764705882,false,8
healthy_DMSO,,,1.0,0.0,true,8
healthy_DMSO,failing-drug_x,B06,0.9415275395600651,0.37254901960784315,false,8
healthy_DMSO,healthy-drug_x,E03,1.0543251712885817,0.5882352941176471,false,8
healthy_DMSO,healthy-drug_x,E06,1.064173179245434,0.5686274509803921,false,8
healthy_DMSO,failing-drug_x,D03,0.9509351243301232,0.49019607843137253,false,8
healthy_DMSO,failing-TGFRi,D10,0.9154715931677717,0.29411764705882354,false,8
healthy_DMSO,healthy-drug_x,C03,0.9165071343337866,0.35294117647058826,false,8
healthy_DMSO,failing-drug_x,B03,0.9329539182200733,0.47058823529411764,false,8
healthy_DMSO,healthy-TGFRi,E10,0.8051070397108908,0.43137254901960786,false,8
healthy_DMSO,healthy-TGFRi,E07,0.8688120499750694,0.0,false,8
healthy_DMSO,healthy-TGFRi,C10,0.7591270998285105,0.17647058823529413,false,8
healthy_DMSO,healthy-TGFRi,E04,0.913806128719981,0.0,false,8
healthy_DMSO,healthy-drug_x,E09,1.1362506695276575,0.35294117647058826,false,8
healthy_DMSO,healthy-drug_x,C09,0.9193262919179667,0.37254901960784315,false,8
healthy_DMSO,failing-TGFRi,B10,0.8586479145400155,0.23529411764705882,false,8
healthy_DMSO,failing-drug_x,B09,0.9720008195611577,0.4482758620689655,false,9
healthy_DMSO,healthy-drug_x,E09,1.1468519358398293,0.46551724137931033,false,9
healthy_DMSO,healthy-drug_x,C09,0.9261776563361835,0.39655172413793105,false,9
healthy_DMSO,healthy-TGFRi,C10,0.7654079628583267,0.1724137931034483,false,9
healthy_DMSO,failing-TGFRi,B07,0.9407143211114528,0.29310344827586204,false,9
healthy_DMSO,failing-TGFRi,D07,1.079413388576953,0.4482758620689655,false,9
healthy_DMSO,failing-drug_x,B03,0.9395573318627208,0.5517241379310345,false,9
healthy_DMSO,healthy-drug_x,E03,1.063952290081699,0.6724137931034483,false,9
healthy_DMSO,healthy-drug_x,E06,1.0736207668353743,0.6379310344827587,false,9
healthy_DMSO,,,1.0,0.0,true,9
healthy_DMSO,failing-drug_x,B06,0.9464625909443048,0.43103448275862066,false,9
healthy_DMSO,failing-drug_x,D06,0.9613488341298072,0.5,false,9
healthy_DMSO,failing-TGFRi,B04,0.8943797604272632,0.10344827586206896,false,9
healthy_DMSO,healthy-TGFRi,C07,0.769085419006216,0.20689655172413793,false,9
healthy_DMSO,failing-TGFRi,D10,0.9257498378324451,0.3275862068965517,false,9
healthy_DMSO,healthy-TGFRi,E07,0.876444658876282,0.0,false,9
healthy_DMSO,healthy-TGFRi,C04,0.7853075589150311,0.1896551724137931,false,9
healthy_DMSO,failing-TGFRi,D04,0.9453250230771113,0.39655172413793105,false,9
healthy_DMSO,healthy-drug_x,C03,0.9223766823621612,0.41379310344827586,false,9
healthy_DMSO,healthy-TGFRi,E04,0.9214163715536218,0.0,false,9
healthy_DMSO,failing-drug_x,D09,0.9925479159651557,0.6896551724137931,false,9
healthy_DMSO,healthy-drug_x,C06,0.9068486306613452,0.3448275862068966,false,9
healthy_DMSO,failing-TGFRi,B10,0.8667170855190705,0.3620689655172414,false,9
healthy_DMSO,failing-drug_x,D03,0.9571691357431088,0.5689655172413793,false,9
healthy_DMSO,healthy-TGFRi,E10,0.8113440365911766,0.3793103448275862,false,9
healthy_DMSO,healthy-TGFRi,C10,0.7703157184568474,0.1206896551724138,false,10
healthy_DMSO,healthy-drug_x,E06,1.0848310098829044,0.5517241379310345,false,10
healthy_DMSO,healthy-drug_x,E09,1.1601578990241015,0.3793103448275862,false,10
healthy_DMSO,,,1.0,0.0,true,10
healthy_DMSO,failing-TGFRi,B10,0.8721015160124608,0.25862068965517243,false,10
healthy_DMSO,healthy-TGFRi,C07,0.776084659399284,0.13793103448275862,false,10
healthy_DMSO,healthy-TGFRi,E04,0.9299551383969779,0.0,false,10
healthy_DMSO,healthy-drug_x,E03,1.0757893638595826,0.603448275862069,false,10
healthy_DMSO,failing-TGFRi,B04,0.9015835412998561,0.05172413793103448,false,10
healthy_DMSO,failing-drug_x,B03,0.9488107424870715,0.4482758620689655,false,10
healthy_DMSO,failing-TGFRi,D10,0.9320660898587192,0.25862068965517243,false,10
healthy_DMSO,failing-drug_x,D06,0.971634220986013,0.4827586206896552,false,10
healthy_DMSO,failing-TGFRi,D07,1.087772613438989,0.41379310344827586,false,10
healthy_DMSO,failing-drug_x,B06,0.9564695213705037,0.39655172413793105,false,10
healthy_DMSO,failing-drug_x,D09,1.0037642512031317,0.6379310344827587,false,10
healthy_DMSO,healthy-drug_x,C09,0.9354207592631111,0.3275862068965517,false,10
healthy_DMSO,healthy-drug_x,C06,0.9156861512477199,0.29310344827586204,false,10
healthy_DMSO,healthy-TGFRi,E10,0.8170642857651659,0.43103448275862066,false,10
healthy_DMSO,healthy-drug_x,C03,0.9317245084887125,0.3275862068965517,false,10
healthy_DMSO,failing-TGFRi,B07,0.947356715403192,0.25862068965517243,false,10
healthy_DMSO,failing-drug_x,B09,0.98202838393186,0.41379310344827586,false,10
healthy_DMSO,failing-drug_x,D03,0.9677526684885704,0.5172413793103449,false,10
healthy_DMSO,failing-TGFRi,D04,0.9520803202210435,0.3103448275862069,false,10
healthy_DMSO,healthy-TGFRi,C04,0.7920701516150516,0.10344827586206896,false,10
healthy_DMSO,healthy-TGFRi,E07,0.8842316324868718,0.0,false,10
healthy_DMSO,healthy-drug_x,C03,0.9240779210807992,0.35294117647058826,false,11
healthy_DMSO,failing-drug_x,B09,0.972815536850354,0.35294117647058826,false,11
healthy_DMSO,healthy-TGFRi,E04,0.9245423908103131,0.0,false,11
healthy_DMSO,failing-TGFRi,D04,0.9469668708177968,0.39215686274509803,false,11
healthy_DMSO,healthy-TGFRi,C07,0.7736886994078213,0.13725490196078433,false,11
healthy_DMSO,healthy-drug_x,E03,1.0645465547074497,0.6078431372549019,false,11
healthy_DMSO,failing-drug_x,D09,0.9938807845890182,0.6274509803921569,false,11
healthy_DMSO,healthy-TGFRi,E10,0.8125268308016774,0.45098039215686275,false,11
healthy_DMSO,failing-TGFRi,B04,0.8961070288012598,0.0392156862745098,false,11
healthy_DMSO,failing-drug_x,B06,0.9474850576943641,0.39215686274509803,false,11
healthy_DMSO,healthy-TGFRi,C04,0.7891240184309951,0.11764705882352941,false,11
healthy_DMSO,healthy-drug_x,E06,1.074985757598446,0.5294117647058824,false,11
healthy_DMSO,failing-drug_x,D06,0.9629663960468552,0.47058823529411764,false,11
healthy_DMSO,failing-TGFRi,B07,0.9442131885704957,0.29411764705882354,false,11
healthy_DMSO,healthy-TGFRi,C10,0.7671375031266497,0.19607843137254902,false,11
healthy_DMSO,failing-TGFRi,D07,1.0817277300805708,0.45098039215686275,false,11
healthy_DMSO,failing-drug_x,D03,0.9578948239088955,0.49019607843137253,false,11
healthy_DMSO,failing-drug_x,B03,0.9400633270657667,0.45098039215686275,false,11
healthy_DMSO,failing-TGFRi,B10,0.8695225659171488,0.29411764705882354,false,11
healthy_DMSO,healthy-drug_x,C06,0.9083752335587902,0.29411764705882354,false,11
healthy_DMSO,healthy-drug_x,C09,0.9282480616272418,0.3333333333333333,false,11
healthy_DMSO,,,0.9999999999999999,0.0,true,11
healthy_DMSO,healthy-drug_x,E09,1.1478619263981271,0.39215686274509803,false,11
healthy_DMSO,failing-TGFRi,D10,0.9276666269054318,0.2549019607843137,false,11
healthy_DMSO,healthy-TGFRi,E07,0.8788986147061109,0.0,false,11
healthy_DMSO,,,1.0,0.0,true,12
healthy_DMSO,failing-drug_x,D06,0.9837034120247137,0.46296296296296297,false,12
healthy_DMSO,failing-drug_x,B06,0.9678110778125305,0.3888888888888889,false,12
healthy_DMSO,failing-drug_x,D09,1.0163669408102016,0.6111111111111112,false,12
healthy_DMSO,healthy-TGFRi,C10,0.7807006583457959,0.09259259259259259,false,12
healthy_DMSO,healthy-TGFRi,E07,0.8943258925592241,0.0,false,12
healthy_DMSO,failing-drug_x,B03,0.9593424686903972,0.46296296296296297,false,12
healthy_DMSO,healthy-TGFRi,E10,0.8274425056143017,0.4074074074074074,false,12
healthy_DMSO,healthy-drug_x,C09,0.9456312728884098,0.3888888888888889,false,12
healthy_DMSO,failing-drug_x,B09,0.9936069995037754,0.35185185185185186,false,12
healthy_DMSO,healthy-TGFRi,E04,0.9411709399259186,0.0,false,12
healthy_DMSO,healthy-TGFRi,C07,0.7873539723419082,0.09259259259259259,false,12
healthy_DMSO,healthy-TGFRi,C04,0.8038098717413181,0.09259259259259259,false,12
